,AAL.L,ABF.L,ADM.L,ALW.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BBOX.L,BEZ.L,BGEO.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BTRW.L,CCH.L,CNA.L,CPG.L,CRDA.L,DCC.L,DGE.L,DPLM.L,ENT.L,EXPN.L,FCIT.L,FRES.L,GAW.L,GLEN.L,GSK.L,HLMA.L,HSBA.L,HSX.L,HWDN.L,IAG.L,ICG.L,IGG.L,IHG.L,III.L,IMB.L,IMI.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MNDI.L,MRO.L,NG.L,NWG.L,NXT.L,PCT.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDLF.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WTB.L
2015-01-05,1094.1602783203125,3089.235107421875,1293.8853759765625,470.3668212890625,719.877197265625,460.95086669921875,4567.16552734375,460.1564636230469,1041.830810546875,233.96453857421875,3388.331298828125,107.7046890258789,283.4765625,2152.055419921875,2546.6806640625,762.5216674804688,1747.8504638671875,387.0900573730469,1602.91064453125,454.1490783691406,1145.5250244140625,266.95819091796875,8.709770202636719,2817.748046875,3491.904541015625,1815.3651123046875,716.5922241210938,479.4268798828125,1069.073486328125,105.05941009521484,766.5756225585938,492.2737731933594,281.16064453125,1370.4747314453125,671.7814331054688,600.052734375,810.4563598632812,399.4031677246094,491.86004638671875,596.3278198242188,708.768798828125,33.118064880371094,440.8011169433594,2783.0048828125,1220.24853515625,422.577880859375,2270.6787109375,20.26849365234375,326.7858581542969,1233.1143798828125,240.66522216796875,74.27214813232422,150.98805236816406,2200.857421875,432.42803955078125,1117.2928466796875,122.83734130859375,986.6649169921875,405.1436462402344,6713.62353515625,57.900001525878906,1208.676513671875,1542.580810546875,1155.654541015625,1078.1253662109375,2859.828125,5375.3466796875,222.2701416015625,292.62103271484375,117.4992904663086,232.232421875,608.8920288085938,445.6930847167969,466.5708923339844,364.70831298828125,2068.01904296875,1073.6021728515625,241.8380584716797,1172.003662109375,2930.236083984375,1574.2083740234375,899.0396728515625,784.8710327148438,1979.0906982421875,228.82371520996094,2740.690185546875,907.5349731445312,214.94163513183594,1760.0609130859375,4018.579345703125
2015-01-06,1121.842041015625,3081.25244140625,1283.955078125,469.7682189941406,715.3901977539062,454.293212890625,4472.50390625,454.8776550292969,1030.8536376953125,229.62814331054688,3396.2734375,108.20214080810547,277.99639892578125,2180.922119140625,2520.852783203125,760.0345458984375,1741.8648681640625,388.4309997558594,1597.9232177734375,444.8076477050781,1139.5482177734375,262.6781311035156,8.53978443145752,2831.92236328125,3464.9814453125,1776.48583984375,723.5787353515625,478.43011474609375,1044.11865234375,104.78498840332031,788.5203857421875,492.2737731933594,282.75299072265625,1357.9656982421875,662.2916259765625,589.9175415039062,801.9547729492188,388.034423828125,479.2023010253906,590.7216186523438,702.3074951171875,32.56524658203125,431.63433837890625,2811.778076171875,1196.322265625,418.627685546875,2292.62744140625,18.86928939819336,315.5311279296875,1221.441162109375,236.6970977783203,72.53028106689453,150.29177856445312,2170.900634765625,430.1560974121094,1114.0093994140625,121.42491912841797,972.6734619140625,396.569091796875,6713.62353515625,57.0,1186.3775634765625,1517.748779296875,1139.7142333984375,1063.165283203125,2920.32763671875,5302.70654296875,217.97647094726562,292.7923583984375,115.40288543701172,233.32643127441406,594.1058349609375,433.67938232421875,458.59197998046875,364.3273010253906,2067.521484375,1043.69677734375,241.3384246826172,1173.0009765625,2880.57080078125,1590.1094970703125,898.9446411132812,764.950439453125,1967.144775390625,225.29562377929688,2741.75537109375,895.5935668945312,213.84933471679688,1768.0428466796875,3946.57421875
2015-01-07,1119.899658203125,3047.32666015625,1295.871337890625,472.7611389160156,717.384521484375,453.60791015625,4463.53662109375,460.85369873046875,1039.834716796875,229.87741088867188,3385.353759765625,108.45088958740234,280.6866149902344,2175.9453125,2527.05126953125,774.9567260742188,1756.8291015625,391.11285400390625,1621.862060546875,450.57159423828125,1130.5833740234375,263.97210693359375,8.580256462097168,2849.480712890625,3473.9560546875,1803.9007568359375,717.5902709960938,478.928466796875,1069.073486328125,105.5334243774414,796.00146484375,493.7655334472656,283.4497375488281,1379.9808349609375,667.2861328125,597.1708984375,812.7232055664062,391.12591552734375,479.6009521484375,592.025390625,708.768798828125,33.2723503112793,424.1615295410156,2807.809326171875,1196.322265625,424.87457275390625,2303.601318359375,19.02120590209961,317.82196044921875,1244.78759765625,239.17715454101562,72.66964721679688,150.98805236816406,2186.877197265625,438.48663330078125,1119.4808349609375,123.49652862548828,995.124755859375,393.7824401855469,6823.1953125,57.29999923706055,1214.87060546875,1530.66162109375,1135.7293701171875,1074.1358642578125,2938.1796875,5364.97021484375,219.47425842285156,294.6780700683594,117.09998321533203,228.35360717773438,600.9303588867188,437.2327575683594,458.7913818359375,369.37554931640625,2085.9150390625,1053.6654052734375,244.9359588623047,1181.97802734375,2897.126708984375,1590.1094970703125,912.8974609375,764.4523315429688,2011.94287109375,229.32777404785156,2759.86279296875,924.45166015625,214.4947967529297,1761.0584716796875,3977.43310546875
2015-01-08,1147.095947265625,3089.235107421875,1327.6475830078125,482.83697509765625,743.8065185546875,473.091552734375,4556.205078125,467.02899169921875,1063.7847900390625,236.3071746826172,3487.111572265625,108.45088958740234,282.7790832519531,2149.0693359375,2531.184326171875,774.528076171875,1801.72265625,402.2874755859375,1646.7987060546875,451.86346435546875,1151.5015869140625,270.0438537597656,8.831188201904297,2906.493408203125,3485.921142578125,1843.7769775390625,710.6041259765625,479.92523193359375,1089.03759765625,109.05123138427734,822.4351196289062,489.29022216796875,291.0634460449219,1428.5155029296875,682.2702026367188,602.337890625,829.1591186523438,410.0738525390625,472.1258544921875,597.2402954101562,735.1117553710938,33.863746643066406,431.4350891113281,2926.868408203125,1221.2454833984375,436.35760498046875,2424.319091796875,19.388994216918945,321.40753173828125,1253.2772216796875,242.84764099121094,73.75456237792969,150.19227600097656,2212.83935546875,423.05621337890625,1152.3106689453125,125.52104187011719,1011.2853393554688,404.8220520019531,6877.98046875,58.5,1242.1246337890625,1528.6748046875,1158.643310546875,1090.093505859375,3002.64599609375,5458.3623046875,225.16580200195312,302.3920593261719,120.09484100341797,251.02981567382812,608.512939453125,450.0925598144531,464.376708984375,372.5187683105469,2130.15771484375,1087.55810546875,252.5309295654297,1192.949951171875,2947.826416015625,1590.1094970703125,921.3449096679688,792.3412475585938,2048.776611328125,263.66387939453125,2841.8828125,937.3880004882812,224.17686462402344,1773.03173828125,4058.011474609375
2015-01-09,1119.4136962890625,3071.274169921875,1343.5352783203125,478.6469421386719,747.7948608398438,480.14093017578125,4570.65380859375,465.833740234375,1028.85791015625,230.27609252929688,3446.905517578125,108.45088958740234,281.9819641113281,2100.295166015625,2422.704833984375,769.553466796875,1807.708251953125,395.97998046875,1642.808837890625,428.7088317871094,1123.6103515625,267.55535888671875,8.750242233276367,2902.05029296875,3471.96240234375,1817.857177734375,718.5882568359375,477.4334411621094,1091.0341796875,107.87862396240234,813.9564819335938,495.25714111328125,284.843017578125,1410.5025634765625,690.26171875,598.1646118164062,838.2271728515625,408.5779724121094,463.8534240722656,607.0183715820312,755.9871215820312,33.400917053222656,429.1434631347656,2910.994873046875,1214.2672119140625,432.1317138671875,2453.251220703125,19.073171615600586,320.11279296875,1254.3385009765625,242.15325927734375,73.396240234375,150.19227600097656,2211.841796875,424.09759521484375,1147.933349609375,125.37982940673828,1000.547607421875,394.1040344238281,6863.03857421875,57.599998474121094,1220.6519775390625,1449.211669921875,1172.5909423828125,1087.1014404296875,2960.495361328125,5442.796875,215.3803253173828,295.5351257324219,119.79536437988281,240.4873809814453,608.8920288085938,445.52386474609375,461.384521484375,377.1859436035156,2094.36572265625,1073.6021728515625,247.93397521972656,1178.985595703125,2940.583740234375,1585.140380859375,897.04638671875,780.3888549804688,2043.7998046875,257.1746826171875,2797.14453125,933.4075317382812,223.33274841308594,1763.0538330078125,4040.009521484375
2015-01-13,1112.614990234375,3125.156005859375,1421.9830322265625,483.5351867675781,706.915283203125,480.5326232910156,4700.19091796875,473.2042541503906,1022.8702392578125,232.26983642578125,3558.591796875,108.45088958740234,276.2027893066406,1991.7962646484375,2434.06884765625,781.4922485351562,1820.677490234375,393.64581298828125,1659.7655029296875,422.84552001953125,1133.5716552734375,270.5415344238281,9.041647911071777,2936.004638671875,3464.9814453125,1859.7274169921875,728.56884765625,474.9415588378906,1085.0447998046875,109.17597961425781,829.4178466796875,497.2461242675781,267.67486572265625,1424.012451171875,686.765380859375,600.3505249023438,835.9601440429688,413.863525390625,487.4746398925781,608.5829467773438,746.0463256835938,34.01802062988281,434.42431640625,2939.767333984375,1213.270263671875,443.89044189453125,2357.47509765625,18.789331436157227,331.7659912109375,1281.92919921875,244.930908203125,73.66498565673828,150.19227600097656,2254.780517578125,438.2972412109375,1182.9515380859375,125.52104187011719,1009.7669067382812,400.5348205566406,7027.3916015625,58.0,1231.801025390625,1477.024169921875,1190.5233154296875,1103.0592041015625,2896.0283203125,5541.38037109375,215.18063354492188,295.70654296875,121.99162292480469,247.6482391357422,628.6071166992188,453.4766845703125,462.18243408203125,379.5670166015625,2065.03564453125,1082.57373046875,249.73275756835938,1156.044189453125,3045.08642578125,1514.579345703125,884.2328491210938,800.8075561523438,2085.610595703125,267.1290588378906,2879.163330078125,938.3831787109375,227.40420532226562,1688.2215576171875,4106.01416015625
2015-01-14,1012.5718994140625,3028.367919921875,1380.2764892578125,474.75634765625,673.0151977539062,481.12005615234375,4663.32275390625,466.73016357421875,992.43359375,222.8494873046875,3489.097900390625,108.94837951660156,272.6157531738281,1970.8929443359375,2412.373046875,777.5126953125,1787.755615234375,379.59063720703125,1637.8216552734375,422.3486328125,1064.8402099609375,259.8910217285156,8.944512367248535,2914.108642578125,3426.09423828125,1822.841796875,723.5787353515625,475.9383544921875,1063.08447265625,107.52935791015625,813.9564819335938,497.2461242675781,242.8431396484375,1396.4927978515625,675.7772216796875,586.3403930664062,829.1591186523438,408.37860107421875,482.3916320800781,603.1072387695312,737.5968017578125,33.63232421875,422.9658508300781,2909.009765625,1197.3193359375,442.78814697265625,2238.75341796875,18.789331436157227,327.8815002441406,1275.561767578125,241.06198120117188,72.56015014648438,149.59548950195312,2208.846435546875,427.2214660644531,1151.2159423828125,121.8015365600586,981.5671997070312,388.7449035644531,6887.93896484375,57.0,1208.676513671875,1458.1512451171875,1182.5533447265625,1101.0640869140625,2781.475830078125,5453.17431640625,213.08372497558594,292.278076171875,119.79536437988281,241.7803192138672,613.8208618164062,440.4476623535156,460.6863708496094,370.8042297363281,1996.433349609375,1059.646240234375,243.83668518066406,1145.0723876953125,3000.59521484375,1478.8021240234375,841.0462036132812,777.4010009765625,2061.71875,269.6490783691406,2853.598876953125,936.8903198242188,223.68032836914062,1604.4091796875,4033.1513671875
2015-01-15,1029.0836181640625,3140.123291015625,1423.9688720703125,477.0508728027344,668.0299072265625,496.39361572265625,4712.1474609375,477.6862487792969,1016.8826904296875,227.23565673828125,3563.555908203125,109.19707489013672,275.00714111328125,1966.911376953125,2414.439453125,791.4412231445312,1820.677490234375,389.9705505371094,1679.7144775390625,422.3486328125,1076.793212890625,263.97210693359375,8.831188201904297,2961.178466796875,3398.17529296875,1879.66552734375,720.5845336914062,479.92523193359375,1118.9835205078125,108.50235748291016,852.8588256835938,496.251708984375,239.4592742919922,1414.005126953125,677.7749633789062,593.0972290039062,834.2597045898438,407.7801208496094,487.9730224609375,593.0685424804688,705.2897338867188,33.439476013183594,433.1289978027344,2828.5146484375,1210.279541015625,442.2369689941406,2282.65087890625,19.03319549560547,317.3238830566406,1301.0311279296875,246.12132263183594,73.83417510986328,150.09283447265625,2251.7841796875,432.42803955078125,1179.6683349609375,124.48522186279297,987.9664306640625,388.85211181640625,6873.4951171875,56.79999923706055,1251.6224365234375,1446.231689453125,1195.5048828125,1099.0694580078125,2819.164306640625,5593.267578125,215.8795623779297,292.4494934082031,121.59231567382812,253.91407775878906,610.4086303710938,446.03155517578125,466.47113037109375,374.3284606933594,2054.099609375,1077.5894775390625,244.6361846923828,1165.021240234375,3056.4677734375,1470.851318359375,851.487060546875,797.3214111328125,2094.571044921875,276.2643737792969,2910.0537109375,946.3438110351562,226.31187438964844,1652.3018798828125,4091.44140625
2015-01-16,1067.935546875,3086.240966796875,1443.8291015625,479.3453063964844,688.9681396484375,495.9040832519531,4698.197265625,481.8694763183594,1005.905517578125,223.64695739746094,3558.095703125,109.19707489013672,274.11041259765625,1970.8929443359375,2385.511962890625,795.9183959960938,1848.6112060546875,410.58172607421875,1653.78076171875,423.4418029785156,1072.8089599609375,263.67340087890625,8.84737777709961,2972.1796875,3413.131103515625,1885.6470947265625,741.5432739257812,477.4334411621094,1142.9404296875,107.903564453125,882.2847900390625,491.7764892578125,251.35260009765625,1432.017822265625,668.2853393554688,590.2155151367188,834.2597045898438,405.9850769042969,489.6673278808594,599.7174682617188,700.8164672851562,33.439476013183594,434.72314453125,2870.197509765625,1228.22412109375,442.78814697265625,2345.503173828125,20.308473587036133,316.7264099121094,1309.5206298828125,248.40301513671875,74.09297943115234,150.59019470214844,2251.7841796875,429.8721008300781,1163.253662109375,125.23855590820312,994.4740600585938,389.0664367675781,6828.66796875,56.650001525878906,1238.408203125,1439.2784423828125,1216.42578125,1099.0694580078125,2864.787353515625,5577.69970703125,215.18063354492188,295.1923828125,122.98992156982422,255.40597534179688,619.1287841796875,445.52386474609375,467.9671936035156,381.9483337402344,2090.389404296875,1084.5675048828125,241.43832397460938,1173.0009765625,3052.329345703125,1487.7464599609375,854.8088989257812,786.3651123046875,2117.467529296875,276.0123596191406,2926.02978515625,959.7778930664062,226.2126007080078,1683.232666015625,4088.012939453125
2015-01-20,1089.30419921875,3043.3349609375,1406.0947265625,481.8392639160156,702.4285278320312,506.1844482421875,4691.220703125,490.13641357421875,1025.864013671875,234.51280212402344,3585.396484375,109.9433364868164,280.98553466796875,1919.1322021484375,2360.716552734375,808.3544311523438,1873.5518798828125,409.4393615722656,1698.666015625,424.63433837890625,1052.8868408203125,265.1665344238281,9.057835578918457,3010.470458984375,3468.97021484375,1891.628173828125,757.5119018554688,477.4334411621094,1166.8974609375,108.27783203125,908.718505859375,494.2627868652344,256.2294006347656,1443.026123046875,699.2520751953125,591.90478515625,838.7937622070312,418.2514343261719,507.30853271484375,600.3693237304688,726.1651000976562,33.69661331176758,440.3029479980469,2924.783447265625,1248.1632080078125,452.98516845703125,2379.423828125,20.188539505004883,335.2519226074219,1329.683349609375,253.6606903076172,75.14801025390625,154.17088317871094,2315.69287109375,442.6518249511719,1190.6114501953125,127.87520599365234,1005.7538452148438,407.82318115234375,6953.1884765625,56.75,1271.030517578125,1458.1512451171875,1231.3697509765625,1112.03466796875,2861.8115234375,5567.32177734375,220.77235412597656,302.5635681152344,124.08802032470703,255.3065185546875,617.9913330078125,453.1382141113281,470.36090087890625,388.23480224609375,2104.80517578125,1073.6021728515625,242.73741149902344,1183.97314453125,3130.966064453125,1495.69677734375,868.0023193359375,814.2538452148438,2128.41845703125,283.38360595703125,2889.814208984375,960.7728881835938,228.3972625732422,1670.26171875,4139.44384765625
2015-01-21,1089.30419921875,2991.448486328125,1431.9130859375,487.82489013671875,710.4049682617188,517.9334716796875,4694.7099609375,499.99688720703125,1013.8888549804688,237.15447998046875,3663.825439453125,109.9433364868164,282.0816345214844,1930.081298828125,2410.307373046875,814.323974609375,1882.530517578125,423.1469421386719,1738.564453125,437.5533142089844,1076.793212890625,268.152587890625,9.106403350830078,3007.191162109375,3489.910400390625,1927.0184326171875,753.5196533203125,477.4334411621094,1159.909912109375,110.19886016845703,922.1849365234375,497.2461242675781,256.77679443359375,1466.5423583984375,696.2553100585938,601.7418823242188,839.360595703125,418.8497619628906,510.298583984375,609.7561645507812,733.1235961914062,34.04373550415039,440.3029479980469,2983.337890625,1270.0955810546875,456.1085205078125,2291.629638671875,19.508926391601562,337.64227294921875,1340.29541015625,256.6368408203125,75.23760223388672,156.85647583007812,2337.66259765625,447.66900634765625,1215.7806396484375,130.18214416503906,1011.7191772460938,407.5015869140625,7027.89990234375,57.349998474121094,1302.8267822265625,1495.8963623046875,1291.14501953125,1124.0029296875,2900.490966796875,5629.58642578125,224.96609497070312,305.82061767578125,124.08802032470703,262.56683349609375,616.474853515625,460.0758056640625,470.8595886230469,387.6632995605469,2151.03759765625,1078.586669921875,249.8327178955078,1186.9654541015625,3145.451416015625,1494.703125,886.2261352539062,823.7161254882812,2125.432373046875,288.5497741699219,2959.051025390625,966.24609375,236.4904327392578,1684.2303466796875,4198.5927734375
2015-01-22,1112.1292724609375,2978.477783203125,1434.891845703125,493.0122985839844,716.8859252929688,527.2348022460938,4672.78759765625,515.932861328125,1038.8369140625,242.63726806640625,3707.507080078125,110.44080352783203,282.3804931640625,2058.487548828125,2435.1015625,821.7855224609375,1875.5472412109375,425.53094482421875,1738.564453125,443.515869140625,1089.7427978515625,269.94427490234375,9.29308795928955,3030.25,3579.650634765625,1932.0030517578125,754.0187377929688,461.5798645019531,1160.9078369140625,111.54608154296875,912.7086181640625,492.2737731933594,263.5445556640625,1489.5589599609375,695.7557373046875,616.347900390625,851.2623901367188,420.4454650878906,523.25537109375,628.7908325195312,740.08203125,34.81511688232422,456.1455078125,2997.232421875,1300.0037841796875,465.2950744628906,2350.4912109375,19.18910789489746,343.8174133300781,1353.02978515625,258.91845703125,75.2973403930664,156.25970458984375,2376.6064453125,444.545166015625,1245.3271484375,132.1126708984375,1014.1054077148438,413.71807861328125,6983.07421875,58.20000076293945,1316.4541015625,1509.8023681640625,1313.0628662109375,1130.9842529296875,2942.146728515625,5603.64208984375,230.65768432617188,308.2205810546875,124.28768920898438,268.136474609375,619.1287841796875,479.1962585449219,476.3452453613281,388.7110290527344,2163.9619140625,1132.415771484375,252.03123474121094,1183.97314453125,3151.659423828125,1481.051513671875,904.3550415039062,841.1468505859375,2135.386962890625,297.1810607910156,2966.507080078125,983.1627807617188,237.03662109375,1696.2034912109375,4307.4580078125
2015-01-23,1071.8209228515625,3073.27001953125,1432.9058837890625,496.2046813964844,682.4874267578125,525.2766723632812,4716.6298828125,516.9290161132812,1050.8121337890625,242.38804626464844,3763.59912109375,110.19207763671875,289.7538146972656,2060.47900390625,2434.06884765625,829.2473754882812,1908.468994140625,429.5041809082031,1770.4827880859375,447.2921447753906,1107.6727294921875,268.7499084472656,9.309536933898926,3001.796630859375,3614.549560546875,1963.4056396484375,748.529541015625,440.1457824707031,1159.909912109375,112.19477081298828,894.7535400390625,501.2242126464844,248.217529296875,1501.0672607421875,696.2553100585938,620.8192749023438,853.5294189453125,422.1407165527344,534.21875,633.4841918945312,743.561279296875,35.40650939941406,460.92822265625,3067.697265625,1289.0372314453125,477.6967468261719,2322.55712890625,19.7327938079834,342.6222229003906,1362.58056640625,263.7793884277344,75.17789459228516,157.65216064453125,2370.615234375,450.1302795410156,1258.458740234375,134.27841186523438,1016.1660766601562,407.3944091796875,7122.53515625,58.849998474121094,1344.120849609375,1516.7548828125,1343.9466552734375,1156.9154052734375,2859.33251953125,5769.67724609375,233.95274353027344,309.2491455078125,121.99162292480469,266.4457092285156,625.1951293945312,483.0880126953125,477.4422302246094,391.2826232910156,2172.413818359375,1116.466552734375,255.82862854003906,1186.9654541015625,3179.595458984375,1483.0391845703125,902.741455078125,858.0791625976562,2137.378173828125,296.4880676269531,3040.00390625,990.6259155273438,238.22825622558594,1671.2593994140625,4363.17578125
2015-01-27,1058.708251953125,3090.232666015625,1432.9058837890625,488.3235778808594,691.460693359375,520.87060546875,4708.16259765625,503.9808654785156,1009.8971557617188,238.69964599609375,3728.8525390625,109.694580078125,288.956787109375,2100.295166015625,2454.731689453125,819.2982788085938,1918.4456787109375,437.649169921875,1759.5108642578125,449.6770935058594,1069.820556640625,281.3910217285156,9.416448593139648,2993.017333984375,3609.564453125,1935.99072265625,768.4904174804688,436.1581115722656,1162.9044189453125,111.02220153808594,907.7211303710938,497.2461242675781,252.94500732421875,1485.0552978515625,696.2553100585938,614.062744140625,850.695556640625,425.83056640625,559.1356201171875,627.095947265625,752.5079345703125,35.02082443237305,461.6256103515625,3050.826171875,1274.083251953125,469.88824462890625,2262.6962890625,19.708810806274414,347.6021728515625,1347.7244873046875,262.48968505859375,74.77975463867188,157.15489196777344,2349.644775390625,449.3730163574219,1284.72216796875,129.71141052246094,1018.4436645507812,403.3215026855469,7127.515625,57.04999923706055,1335.035888671875,1544.5675048828125,1316.0513916015625,1147.9390869140625,2848.91845703125,5722.9794921875,243.9379425048828,301.3635559082031,121.59231567382812,268.8326721191406,626.3323974609375,485.96466064453125,482.7283630371094,388.9967041015625,2178.37890625,1113.475830078125,250.9319610595703,1172.003662109375,3184.769287109375,1535.721435546875,893.8194580078125,854.5931396484375,2141.360107421875,290.1248474121094,3074.08935546875,1010.0305786132812,235.050537109375,1636.3375244140625,4286.02685546875
2015-01-28,1082.990478515625,3114.180419921875,1446.80810546875,491.3164367675781,671.51953125,520.381103515625,4726.59619140625,510.9529724121094,996.92431640625,236.10780334472656,3751.190185546875,109.9433364868164,290.551025390625,2062.469482421875,2490.8916015625,832.232177734375,1918.4456787109375,430.0504150390625,1783.4498291015625,454.8446960449219,1067.828369140625,286.2683410644531,9.408222198486328,2984.23828125,3606.572021484375,1955.9285888671875,758.0108642578125,452.1090087890625,1181.870361328125,111.8205337524414,907.7211303710938,495.3814392089844,256.72698974609375,1497.5643310546875,705.2457275390625,614.2615356445312,858.0635375976562,423.8360290527344,558.1392211914062,656.429931640625,752.5079345703125,34.15944290161133,462.42266845703125,3073.65283203125,1274.083251953125,467.1322937011719,2282.65087890625,20.068607330322266,348.49853515625,1367.88671875,267.1522521972656,74.41146850585938,158.05003356933594,2380.60107421875,452.11822509765625,1288.0050048828125,128.58145141601562,1031.89306640625,401.8210144042969,7202.22900390625,57.5,1354.8575439453125,1570.3931884765625,1334.9803466796875,1141.9552001953125,2870.737548828125,5831.9384765625,236.74867248535156,302.5635681152344,121.99162292480469,261.4728698730469,632.01953125,494.2557067871094,480.4344482421875,393.9497375488281,2141.095458984375,1112.47900390625,252.1311492919922,1187.962646484375,3204.428466796875,1570.5108642578125,858.9854125976562,855.5891723632812,2160.275146484375,286.84869384765625,3085.805908203125,1026.9476318359375,235.59669494628906,1673.2550048828125,4294.60009765625
2015-01-29,1065.9927978515625,3153.09521484375,1439.8572998046875,490.8175048828125,653.0740966796875,524.7870483398438,4744.5322265625,513.941162109375,1004.9076538085938,235.80873107910156,3766.57861328125,109.19707489013672,290.1524963378906,2037.584716796875,2514.65380859375,837.7041015625,1930.4168701171875,422.00469970703125,1760.50830078125,467.46551513671875,1084.7620849609375,291.2452087402344,9.523360252380371,2964.458251953125,3541.759521484375,2016.241455078125,756.0147705078125,459.5860595703125,1180.8720703125,112.02013397216797,860.3400268554688,498.7380065917969,249.2128143310547,1493.5616455078125,698.2531127929688,614.162109375,842.7611694335938,428.6229553222656,562.1257934570312,646.65185546875,720.7780151367188,34.17229461669922,464.7143859863281,3136.177734375,1272.0894775390625,467.1322937011719,2313.578125,20.348447799682617,345.3114013671875,1377.4373779296875,267.0530090332031,74.51101684570312,160.1387939453125,2407.562255859375,461.7740783691406,1300.042724609375,124.01445770263672,1027.6627197265625,395.7116394042969,7266.97900390625,57.5,1356.9219970703125,1596.218505859375,1355.9014892578125,1158.9097900390625,2862.307861328125,5935.7109375,236.74867248535156,304.27777099609375,121.79195404052734,262.367919921875,635.8107299804688,491.8868713378906,480.23492431640625,392.9019775390625,2048.13427734375,1106.498046875,247.53424072265625,1196.939697265625,3208.5673828125,1595.3609619140625,844.6531982421875,865.0513916015625,2189.145263671875,286.02972412109375,3144.390869140625,1036.8983154296875,235.99391174316406,1642.3240966796875,4286.02685546875
2015-01-30,1081.0478515625,3096.21923828125,1437.8709716796875,487.6254577636719,648.0888671875,516.9544067382812,4726.09765625,505.47491455078125,1003.9098510742188,233.416259765625,3724.882080078125,109.19707489013672,288.05999755859375,2021.657958984375,2503.2890625,825.2677612304688,1892.507080078125,421.607421875,1724.60009765625,455.5403747558594,1066.8323974609375,292.439697265625,9.465790748596191,2910.830322265625,3517.829345703125,1963.9044189453125,755.016845703125,456.0967712402344,1170.8900146484375,112.64385986328125,896.7485961914062,489.29022216796875,247.7199249267578,1468.0439453125,695.7557373046875,605.716064453125,832.5596313476562,423.736328125,542.6906127929688,642.7407836914062,717.7957763671875,34.223724365234375,457.6400451660156,3100.44873046875,1272.0894775390625,470.34759521484375,2287.638916015625,20.108585357666016,341.4270324707031,1351.9686279296875,265.76336669921875,73.40618896484375,158.64682006835938,2361.6279296875,458.5555114746094,1301.1368408203125,124.76778411865234,1014.6477661132812,388.4234313964844,7207.21044921875,57.599998474121094,1337.927001953125,1581.3193359375,1345.93896484375,1152.92578125,2900.987548828125,5842.3154296875,232.2552947998047,305.649169921875,120.69383239746094,254.01351928710938,636.1897583007812,490.3639831542969,478.9383544921875,392.8067321777344,2006.3756103515625,1123.4442138671875,248.2337646484375,1187.962646484375,3155.797607421875,1599.3367919921875,842.5650024414062,854.5931396484375,2142.35498046875,283.1946716308594,3120.955810546875,1021.9718017578125,232.86590576171875,1676.2484130859375,4290.31396484375
2015-02-02,1091.7322998046875,3107.1953125,1448.7939453125,488.6229553222656,670.0239868164062,517.9334716796875,4665.314453125,504.97686767578125,1006.903564453125,235.11090087890625,3739.77197265625,109.19707489013672,288.956787109375,2052.515625,2497.090087890625,834.7193603515625,1883.5284423828125,434.7685546875,1738.564453125,455.34161376953125,1067.828369140625,291.94189453125,9.531582832336426,2941.505126953125,3529.794189453125,1943.9659423828125,773.4805297851562,446.62591552734375,1165.89892578125,113.49210357666016,884.2799072265625,497.2461242675781,251.9000244140625,1461.5390625,685.7664184570312,608.4983520507812,827.4589233398438,413.1654052734375,527.7402954101562,651.6061401367188,712.3278198242188,33.50375747680664,463.4190673828125,3106.404052734375,1287.0435791015625,471.2662048339844,2274.66943359375,20.08859634399414,333.75787353515625,1373.1927490234375,265.26739501953125,73.32655334472656,159.9398651123047,2338.66015625,452.4969482421875,1301.1368408203125,125.61517333984375,1013.0206298828125,391.7459716796875,7137.47802734375,57.45000076293945,1330.080810546875,1561.4532470703125,1357.8941650390625,1153.92333984375,2936.69189453125,5842.3154296875,232.15542602539062,303.0777587890625,120.49417114257812,265.848876953125,630.5029296875,492.7327880859375,475.7467346191406,396.6167297363281,2057.081787109375,1137.4000244140625,249.03323364257812,1180.9808349609375,3174.423095703125,1607.288818359375,836.2057495117188,865.0513916015625,2096.5615234375,287.7306823730469,3103.914306640625,996.0990600585938,232.22044372558594,1730.12744140625,4271.45556640625
