,ABG.JO,AGL.JO,ANG.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,IMP.JO,INL.JO,INP.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RMH.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO,WHL.JO
2015-01-05,17244.87890625,19736.224609375,10264.662109375,40294.52734375,61015.5625,7757.98681640625,7841.447265625,32391.509765625,10418.9033203125,10037.2353515625,4744.091796875,5539.01806640625,5076.9990234375,2594.80224609375,7139.03515625,5435.10546875,4992.1494140625,19843.125,22112.662109375,20526.8984375,23328.509765625,19003.95703125,10986.5576171875,16784.98828125,86.71812438964844,13438.384765625,16131.921875,6517.970703125,40387.99609375,12085.7724609375,7310.08984375
2015-01-06,17694.48046875,20134.845703125,10962.0302734375,40596.1171875,60669.44921875,7884.72509765625,8031.97216796875,32325.650390625,10793.2646484375,10263.310546875,4839.529296875,6023.70654296875,5066.00830078125,2692.813232421875,7228.77197265625,5496.87890625,5023.2783203125,20062.15625,22581.810546875,21135.75,24302.5625,19960.384765625,10977.0068359375,17014.349609375,89.32325744628906,13968.9287109375,16829.841796875,6622.37744140625,39937.26171875,12266.6171875,7589.9443359375
2015-01-07,18063.693359375,20034.4609375,11093.908203125,40753.90234375,60627.67578125,7991.2392578125,8140.701171875,32932.3984375,10784.51171875,10189.267578125,4935.96142578125,6054.623046875,5072.00244140625,2713.602294921875,7318.50732421875,5505.4599609375,5016.41748046875,20028.201171875,22905.52734375,20756.712890625,24442.55859375,20726.24609375,11105.9765625,17457.626953125,90.96405792236328,14290.830078125,17247.59765625,6652.2080078125,40228.44921875,12669.04296875,7718.41943359375
2015-01-08,18530.173828125,20082.220703125,11357.66796875,43040.7578125,61126.9453125,8012.8115234375,8354.169921875,32932.3984375,11148.177734375,10364.998046875,5001.57666015625,6188.26220703125,5072.00244140625,2747.26318359375,7527.89208984375,5516.32763671875,5035.412109375,20038.056640625,23498.1875,20742.779296875,24905.259765625,21193.775390625,11033.3720703125,18025.74609375,91.55418395996094,14505.4296875,17942.529296875,6662.15234375,38702.73828125,12764.4345703125,7867.80810546875
2015-01-09,18032.9296875,19767.41015625,11289.73046875,42094.05859375,60660.49609375,7810.03076171875,8164.640625,32871.53125,10835.07421875,10498.2724609375,4870.3486328125,6144.3798828125,4995.0625,2730.431884765625,7428.185546875,5357.88427734375,4933.05712890625,19938.3984375,23357.74609375,20312.009765625,24259.861328125,21044.55078125,11072.541015625,17553.009765625,89.85572814941406,14190.486328125,17153.875,6457.31591796875,38890.2109375,12411.689453125,7720.41064453125
2015-01-13,18336.63671875,19472.09765625,12458.6669921875,42247.83984375,62245.8671875,7948.9033203125,8450.9287109375,33055.16015625,11114.1435546875,10663.1435546875,4933.97265625,6700.875,4716.283203125,2747.26318359375,7650.53271484375,5491.7314453125,5025.388671875,20770.716796875,24513.177734375,20240.3828125,24532.916015625,20914.6640625,11034.326171875,17972.451171875,91.46775817871094,14505.4296875,17414.10546875,6496.09521484375,38291.90625,12882.6796875,7654.67919921875
2015-01-14,17981.314453125,17759.67578125,11997.087890625,41842.40625,60994.671875,7712.1455078125,8568.6357421875,32134.037109375,11048.0234375,10314.6484375,4814.67431640625,6350.822265625,4268.63525390625,2730.431884765625,7022.37744140625,5386.48388671875,4923.03369140625,20151.95703125,24011.16015625,19710.1171875,23892.482421875,20267.505859375,10981.7822265625,17546.0,88.6611557006836,13919.251953125,17249.591796875,6359.869140625,36407.2265625,12708.791015625,7534.17333984375
2015-01-15,18034.91015625,18057.912109375,12688.4580078125,41742.5390625,61827.140625,7896.85888671875,8312.2744140625,32832.60546875,11182.2099609375,10119.173828125,4863.38818359375,6553.2744140625,4245.65380859375,2736.372314453125,7313.52294921875,5457.98291015625,4993.73291015625,20479.408203125,24562.98046875,20742.779296875,24004.681640625,20005.47265625,11010.443359375,18376.44921875,89.1937026977539,13852.6875,17378.20703125,6362.85302734375,36797.12890625,12818.0947265625,7793.11328125
2015-01-16,17939.630859375,18638.791015625,12867.2958984375,41492.890625,62494.50390625,7856.14306640625,8269.3798828125,32533.21875,11340.705078125,10316.6220703125,4796.7822265625,6615.107421875,4389.541015625,2715.583740234375,7364.3720703125,5344.15771484375,4919.34130859375,20346.892578125,23905.576171875,19959.83203125,23543.966796875,19595.72265625,10962.67578125,18253.703125,87.91271209716797,13933.1611328125,17174.814453125,6307.1689453125,38267.96875,12788.2841796875,7947.4814453125
2015-01-20,17938.634765625,19248.908203125,13427.7841796875,41584.7578125,63408.515625,7999.59716796875,8380.4873046875,33031.19140625,11205.546875,10545.6591796875,4805.72705078125,6691.89892578125,4523.43408203125,2781.912841796875,7612.64306640625,5462.5595703125,5030.13623046875,20897.759765625,24034.072265625,20090.154296875,24152.62890625,19877.599609375,11177.6298828125,18313.322265625,88.37326049804688,14103.0546875,17395.158203125,6381.74462890625,38368.6875,12768.4091796875,8067.9873046875
2015-01-21,18073.61328125,18819.099609375,13373.833984375,42077.078125,63456.25,8224.4912109375,8604.9638671875,33022.2109375,11269.72265625,10588.11328125,4748.06640625,6508.39501953125,4409.52392578125,2852.203857421875,7807.07275390625,5462.5595703125,5023.8056640625,21105.8359375,24810.009765625,20145.8671875,24193.33203125,20500.13671875,11082.09375,18236.87109375,87.7975845336914,14182.537109375,17747.10546875,6512.00537109375,38857.3046875,13145.0048828125,8459.388671875
2015-01-22,18450.771484375,19346.37109375,13028.1513671875,42241.8515625,63733.76171875,8184.0419921875,8566.0546875,34429.328125,11060.666015625,10569.3525390625,4821.63330078125,6511.38818359375,4612.36474609375,2881.90380859375,8024.43359375,5498.02294921875,5066.541015625,21455.19140625,25614.828125,20166.7578125,24539.865234375,20550.51171875,11082.09375,18314.7265625,88.93460083007812,14460.720703125,18067.154296875,6622.37744140625,39899.37109375,12985.0263671875,8515.16015625
2015-01-23,18721.728515625,18578.3671875,12745.40625,43359.31640625,64175.3515625,8348.263671875,8575.03515625,35507.12109375,11114.1435546875,10348.21484375,4874.32421875,6288.98876953125,4281.62451171875,2913.583740234375,7890.82666015625,5562.08642578125,5098.197265625,21519.806640625,25637.740234375,20300.068359375,24574.6171875,20713.685546875,11177.6298828125,18532.853515625,90.41707611083984,14406.0810546875,18023.283203125,6762.58154296875,40124.73046875,13285.1103515625,8422.5390625
2015-01-27,19553.455078125,18558.873046875,12929.236328125,43241.4765625,65526.98046875,8460.708984375,8698.74609375,37145.75,11240.5517578125,10289.96484375,5098.00927734375,6495.43115234375,4446.49560546875,2969.02392578125,7666.4853515625,5614.138671875,5184.72509765625,22537.20703125,25743.328125,20644.291015625,25276.603515625,21172.1796875,11201.513671875,18927.037109375,92.8638916015625,14906.81640625,18182.814453125,6898.8076171875,41539.7421875,13564.3232421875,8453.41015625
2015-01-28,19800.5859375,18938.9765625,13217.9755859375,43440.203125,65812.4453125,8612.2578125,9167.6533203125,37922.15625,11337.7861328125,10258.375,5212.3359375,6571.22509765625,4472.474609375,2970.013671875,7544.84228515625,5719.95703125,5273.35986328125,22560.203125,26652.7265625,21049.1953125,25572.5,21309.84765625,11129.8642578125,19077.83984375,94.44711303710938,15215.8017578125,18401.16015625,6950.513671875,41498.84765625,13573.267578125,8564.9560546875
2015-01-29,19602.0859375,18822.0234375,13049.1298828125,43761.765625,65692.09375,8657.287109375,9262.4345703125,37922.15625,11307.646484375,10244.5537109375,5107.9501953125,6409.6630859375,4420.51513671875,2954.17431640625,7322.49609375,5626.14892578125,5202.13330078125,22697.095703125,26517.265625,20739.796875,25189.228515625,21228.701171875,11024.771484375,18925.634765625,92.63365173339844,15220.767578125,18744.1328125,7010.17431640625,40915.5,13603.0771484375,8690.4404296875
